293868
word	neg	pos	rateNeg	ratePos
置疑	0	1	0.0	7.024445068839562E-5
合适	14	81	9.834223096375386E-4	0.005689800505760045
最差	161	17	0.011309356560831695	0.0011941556617027255
寒酸	0	1	0.0	7.024445068839562E-5
确实	65	258	0.004565889294745715	0.01812306827760607
无能	7	0	4.917111548187693E-4	0.0
随和	0	2	0.0	1.4048890137679124E-4
安顿	1	6	7.024445068839562E-5	4.214667041303737E-4
当心	1	8	7.024445068839562E-5	5.61955605507165E-4
不发达	0	1	0.0	7.024445068839562E-5
抱歉	30	25	0.0021073335206518687	0.0017561112672098904
崭新	0	4	0.0	2.809778027535825E-4
说不过去	3	5	2.1073335206518685E-4	3.5122225344197806E-4
扎眼	0	1	0.0	7.024445068839562E-5
反面	0	1	0.0	7.024445068839562E-5
誉	28	10	0.001966844619275077	7.024445068839561E-4
难以	51	19	0.0035824669851081763	0.0013346445630795167
恶毒	0	1	0.0	7.024445068839562E-5
利索	1	1	7.024445068839562E-5	7.024445068839562E-5
明摆着	4	0	2.809778027535825E-4	0.0
实际	88	71	0.0061815116605788145	0.004987355998876089
颠倒	0	1	0.0	7.024445068839562E-5
大而无当	0	3	0.0	2.1073335206518685E-4
道谢	1	1	7.024445068839562E-5	7.024445068839562E-5
上好	5	14	3.5122225344197806E-4	9.834223096375386E-4
不能容忍	7	1	4.917111548187693E-4	7.024445068839562E-5
后进	2	3	1.4048890137679124E-4	2.1073335206518685E-4
雅观	1	1	7.024445068839562E-5	7.024445068839562E-5
窝囊	2	0	1.4048890137679124E-4	0.0
夸奖	2	3	1.4048890137679124E-4	2.1073335206518685E-4
独到	0	4	0.0	2.809778027535825E-4
有意思	9	23	6.322000561955605E-4	0.0016156223658330992
跌眼镜	8	0	5.61955605507165E-4	0.0
齐全	13	160	9.13177858949143E-4	0.011239112110143298
幸福	0	4	0.0	2.809778027535825E-4
一不小心	3	1	2.1073335206518685E-4	7.024445068839562E-5
不透明	4	0	2.809778027535825E-4	0.0
迷人	0	3	0.0	2.1073335206518685E-4
高雅	1	3	7.024445068839562E-5	2.1073335206518685E-4
惰性	0	1	0.0	7.024445068839562E-5
舒服	126	584	0.008850800786737847	0.04102275920202304
冒险	1	1	7.024445068839562E-5	7.024445068839562E-5
最坏	1	2	7.024445068839562E-5	1.4048890137679124E-4
晃悠悠	2	0	1.4048890137679124E-4	0.0
狂喜	0	2	0.0	1.4048890137679124E-4
操心	1	2	7.024445068839562E-5	1.4048890137679124E-4
彬彬	0	19	0.0	0.0013346445630795167
不愿意	18	6	0.001264400112391121	4.214667041303737E-4
想念	0	1	0.0	7.024445068839562E-5
别有情趣	0	4	0.0	2.809778027535825E-4
流行	2	1	1.4048890137679124E-4	7.024445068839562E-5
疯狂	6	1	4.214667041303737E-4	7.024445068839562E-5
隆重	0	2	0.0	1.4048890137679124E-4
零落	1	0	7.024445068839562E-5	0.0
趣	10	22	7.024445068839561E-4	0.0015453779151447036
主动	57	192	0.00400393368923855	0.013486934532171958
慕名	2	2	1.4048890137679124E-4	1.4048890137679124E-4
浩荡	1	0	7.024445068839562E-5	0.0
赏	8	53	5.61955605507165E-4	0.0037229558864849675
简短	0	2	0.0	1.4048890137679124E-4
惬意	0	49	0.0	0.003441978083731385
赖	12	9	8.429334082607474E-4	6.322000561955605E-4
赞	16	169	0.00112391121101433	0.01187131216633886
赘	0	3	0.0	2.1073335206518685E-4
赤	4	10	2.809778027535825E-4	7.024445068839561E-4
赫	3	2	2.1073335206518685E-4	1.4048890137679124E-4
名贵	0	5	0.0	3.5122225344197806E-4
黑心	5	0	3.5122225344197806E-4	0.0
实属不易	0	1	0.0	7.024445068839562E-5
一无所有	1	0	7.024445068839562E-5	0.0
弱智	1	0	7.024445068839562E-5	0.0
负	60	41	0.004214667041303737	0.00288002247822422
贞	0	1	0.0	7.024445068839562E-5
责	99	43	0.006954200618151166	0.0030205113796010117
一心一意	0	1	0.0	7.024445068839562E-5
有钱	3	0	2.1073335206518685E-4	0.0
系统	43	37	0.0030205113796010117	0.0025990446754706378
贪	7	0	4.917111548187693E-4	0.0
贫	1	0	7.024445068839562E-5	0.0
惭愧	0	2	0.0	1.4048890137679124E-4
贱	1	2	7.024445068839562E-5	1.4048890137679124E-4
贵	289	714	0.020300646248946334	0.05015453779151447
费	847	1399	0.059497049733071086	0.09827198651306547
贺	0	6	0.0	4.214667041303737E-4
贼	9	7	6.322000561955605E-4	4.917111548187693E-4
教训	6	1	4.214667041303737E-4	7.024445068839562E-5
坚毅	1	0	7.024445068839562E-5	0.0
引领	1	0	7.024445068839562E-5	0.0
欣赏	2	33	1.4048890137679124E-4	0.0023180668727170554
宏伟	1	3	7.024445068839562E-5	2.1073335206518685E-4
不伦不类	2	1	1.4048890137679124E-4	7.024445068839562E-5
清澈	1	6	7.024445068839562E-5	4.214667041303737E-4
管用	9	2	6.322000561955605E-4	1.4048890137679124E-4
松垮垮	4	0	2.809778027535825E-4	0.0
烦躁	0	1	0.0	7.024445068839562E-5
体面	0	6	0.0	4.214667041303737E-4
豁	0	4	0.0	2.809778027535825E-4
乐于	1	3	7.024445068839562E-5	2.1073335206518685E-4
严厉	3	0	2.1073335206518685E-4	0.0
迟钝	3	2	2.1073335206518685E-4	1.4048890137679124E-4
令人生气	1	1	7.024445068839562E-5	7.024445068839562E-5
兼顾	0	4	0.0	2.809778027535825E-4
头号	1	0	7.024445068839562E-5	0.0
敞亮	0	6	0.0	4.214667041303737E-4
